"%s was successfully added to your shopping cart.","%s ถูกเพิ่มลงในรถเข็นของคุณแล้ว"
"Edit Billing Address","แก้ไขที่อยู่สำหรับออกใบเสร็จ"
"Edit Items","แก้ไขรายการสินค้า"
"Edit Shipping Address","แก้ไขที่อยู่สำหรับจัดส่งสินค้า"
"Edit Terms and Conditions","แกไขข้อตกลงและเงื่อนไข"
"Edit Your Cart","แก้ไขรถเข็นของคุณ"
"Email Address","อีเมลล์"
"Enable Terms and Conditions","เปิดใช้งานข้อตกลงและเงื่อนไข"
"Enabled","เปิดใช้งาน"
"Enter a New Address","ใส่ที่อยู่ใหม่"
"Enter your coupon code if you have one.","ใส่รหัสคูปองถ้าคุณมี"
"Enter your destination to get a shipping estimate.","กรุณาใส่ปลายทางของคุณเพื่อประเมินค่าขนส่ง"
"Error while deleting this condition. Please try again later.","ผิดพลาดขณะลบเงื่อนไขนี้. กรุณาลองใหม่อีกครั้งภายหลัง."
"Error while saving this condition. Please try again later.","ผิดพลาดขณะบันทึกเงื่อนไขนี้. กรุณาลองใหม่อีกครั้งภายหลัง."
"Estimate Shipping and Tax","ประมาณค่าขนส่งและภาษี"
"Excl. Tax","ยกเว้น. ภาษี"
"Fast and easy check out","ชำระเงินอย่างสะดวกและรวดเร็ว"
"Fax","โทรสาร"
"Forgot an Item?","ลืมรายการสินค้า?"
"Forgot your password?","ลืมรหัสผ่านของคุณ?"
"Get a Quote","เรียกข้อมูลอ้างอิง"
"Grand Total:","รวมทั้งหมด:"
"Grouped product image","กลุ่มรูปสินค้า"
"HTML","HTML"
"ID","รหัส"
"Incl. Tax","รวม. ภาษี"
"Invalid data","ข้อมูลไม่ถูกต้อง"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","วิธีการส่งสินค้าไม่ถูกต้อง."
"Items","รายการสินค้า"
"Load customer quote error","ข้อผิดพลาดในการโหลดคำอ้างอิงของลูกค้า"
"Loading next step...","กำลังโหลดขั้นตอนถัดไป..."
"Login","เข้าสู่ระบบ"
"Manage Checkout Terms and Conditions","จัดการข้อตกลงและเงื่อนไขการ Checkout "
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","อนุญาตจำนวนสูงสุดสำหรับส่งสินค้าหลายที่ %s"
"Move to Wishlist","ย้ายไปยัง Wishlist"
"My Account","บัญชีของฉัน"
"My Cart","รถเข็นของฉัน"
"My Cart (%s item)","รถเข็นของฉัน (%s รายการ)"
"My Cart (%s items)","รถเข็นของฉัน (%s รายการ)"
"My Cart Link","ลิงค์รถเข็นของฉัน"
"New Address","ที่อยู่ใหม่"
"New Condition","เงื่อนไขใหม่"
"Order #","คำสั่งซื้อ #"
"Order Review","ตรวจสอบคำสั่งซื้อ"
"Order Success","สั่งซื้อสำเร็จแล้ว"
"Other items in your order","รายการคำสั่งซืือ้ในคำสั่งซื้อของคุณ"
"Password","รหัสผ่าน"
"Payment Failed Email Reciever","การชำระเงินล้มเหลว อีเมลล์ Reciever"
"Payment Failed Email Sender","อีเมลล์ผู้ส่งการชำระเงินล้มเหลว"
"Payment Failed Emails","อีเมลล์การชำระเงินล้มเหลว"
"Payment Failed Template","เทมเพลตการชำระเงินล้มเหลว"
"Payment Information","ข้อมูลการชำระเงิน"
"Payment Method","วีธีการชำระเงิน"
"Payment method is not defined","ไม่ได้ระบุวิธีการชำระเงิน"
"Place Order","สั่งซื้อ"
"Please <a href=""%s"">continue shopping</a>.","กรุณา <a href=""%s"">ดำเนินการซื้อต่อไป</a>."
"Please agree to all Terms and Conditions before placing the order.","กรุณายอมยอมรับข้อตกลงและเงื่อนไขทั้งหมดก่อนสั่งซื้อ."
"Please agree to all Terms and Conditions before placing the orders.","กรุณายอมยอมรับข้อตกลงและเงื่อนไขทั้งหมดก่อนสั่งซื้อ."
"Please log in below:","กรุณาเขาสู่ระบบด้านล่าง:"
"Please select region, state or province","กรุณาเลือกภูมิภาค รัฐ หรือจังหวัด"
"Please select shipping address for applicable items","กรุณาเลือกที่อยู่ในการส่งสินค้าสำหรับรายการที่ใช้"
"Please select shipping methods for all addresses","กรุณาเลือกวิธีจัดส่งสินค้าสำหรับทุกที่อยู่"
"Price","ราคา"
"Proceed to Checkout","ดำเนินการแจ้งออก"
"Product","สินค้า"
"Product Name","ชื่อสินค้า"
"Product does not exist","ไม่มีสินค้า"
"Qty","จำนวน"
"Quote Lifetime (days)","อ้างอิงเวลาตลอดการใช้งาน (วัน)"
"Recently added item(s)","รายการที่เพิ่มเมื่อไม่นานนี้"
"Register","ลงทะเบียน"
"Register and save time!","ลงทะเบียนเพื่อประหยัดเวลาของคุณ!"
"Register to Create an Account","ลงทะเบียนเพื่อสร้างบัญชีผู้ใช้"
"Register with us for future convenience:","ลงทะเบียนกับเราเพื่อความสะดวกในอนาคต:"
"Remove","ลบออก"
"Remove Item","ลบรายการสินค้าออก"
"Remove Product","ลบสินค้าออก"
"Remove item","ลบรายการ"
"Review Order","ตรวจสอบคำสั่งซื้อ"
"Review Order - %s","ตรวจสอบคำสั่งซื้อ - %s"
"Sales","ยอดขาย"
"Save Condition","บันทึกเงื่อนไข"
"Save in address book","บันทึกในสมุดที่อยู่"
"Select Address","เลือกที่อยู่"
"Select Addresses","เลือกที่อยู่"
"Select Shipping Method","เลือกวิธีการจัดส่งสินค้า"
"Select State/Province...","เลือก รัฐ/จังหวัด..."
"Select a billing address from your address book or enter a new address.","เลือกที่อยู่สำหรับออกใบเสร็จจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่่."
"Select a shipping address from your address book or enter a new address.","เลือกที่อยู่สำหรับจัดส่งสินค้าจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","ส่งวิธีการชำระเงินล้มเหลวคัดลอกอีเมลล์ไปยัง"
"Send to","ส่งไปยัง"
"Ship to Multiple Addresses","ส่งไปยังที่อยู่หลายที่"
"Ship to different address","ส่งไปยังที่อยู่ที่ต่างกัน"
"Ship to this address","ส่งไปยังที่อยู่นี้"
"Shipping Address","ที่อยู่สำหรับจัดส่งสินค้า"
"Shipping Information","ข้อมูลในการจัดส่งสินค้า"
"Shipping Method","วิธีการส่งสินค้า"
"Shipping Methods","วิธีการส่งสินค้า"
"Shipping method has not been selected yet","ยังไม่ได้เลือกวิธีการส่งสินค้า"
"Shipping selection is not applicable","เลือกวิธีการส่งสินค้าไม่เหมาะสม"
"Shipping to","จัดส่งไปยัง"
"Shopping Cart","รถเข็นสินค้า"
"Shopping Cart Sidebar","Slidebar รถเข็นสินค้า"
"Shopping Cart is Empty","รถเข็นยังว่างเปล่าอยู่"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","สินค้าบางรายการที่คุณต้องการมีจำนวนไม่เพียงพอกับที่คุณขอซื้อ"
"Some of the products you requested are unavailable","สินค้าที่คุณต้องการบางรายการไม่มีจำหน่าย"
"Sorry, Onepage Checkout is disabled.","ขออภัย, หน้าการแจ้งออกปิดการทำงาน."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","ขออภัย, ไม่มีการอ้างอิงสำหรับออเดอร์นี้ที่ใช้ได้ขณะนี้."
"State/Province","รัฐ/จังหวัด"
"Status","สถานะ"
"Store View","มุมมองร้านค้า"
"Street Address","ที่อยู่"
"Street Address ","ที่อยู่ "
"Submitting order information...","กำลังยืนยันข้อมูลคำสั่งซื้อ..."
"Subtotal","รวม"
"Telephone","โทรศัพท์"
"Terms and Conditions","ข้อตกลงและเงื่อนไข"
"Terms and Conditions Information","ข้อมูลข้อตกลงและเงื่อนไข"
"Terms and conditions","ข้อตกลงและเงื่อนไข"
"Text","ข้อความ"
"Thank you for your purchase!","ขอบคุณที่ซื้อสินค้ากับเรา!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","นี้คือ<a href=""%s""><strong>%s รายการ</strong></a>ในรถเข็นของคุณ"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"There is already a customer registered using this email address","มีลูกค้าที่ลงทะเบียนโดยใช้อีเมล์นี้อยู่แล้ว"
"There was an error processing your order. Please contact us or try again later.","รายการของคุณผิดพลาด. กรุณาติดต่อเราหรือลองใหม่อกีครั้ง."
"This condition no longer exists","มีเงื่อนไขนี้แล้ว"
"Total","ทั้งหมด"
"Total for this address","ทั้งหมดสำหรับที่อยู่นี้"
"Unit Price","ราคาต่อหน่วย"
"Update Qty &amp; Addresses","อัพเดท จำนวน &amp; ที่อยู่"
"Update Shopping Cart","อัพเดทรถเข็น"
"Update Total","อัพเดทยอดรวมทั้งหมด"
"Use Billing Address","ใช้ที่อยู่สำหรับออกใบเสร็จ"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","เรากำลังดำเนินการกับออเดอร์ของคุณอยู่ คุณจะได้รับอีเมลล์พร้อมรายละเอียดออเดอร์ในไม่ช้า และเมื่อเราจัดส่งออเดอร์ให้คุณ คุณจะได้รับอีเมล์อีกฉบับซึ่งจะมีลิงค์สำหรับติดตามความคืบหน้า"
"You have no items in your shopping cart.","คุณไม่มีรายการสินค้าในรถเข็นของคุณ."
"You will receive an order confirmation email with details of your order and a link to track its progress.","คุณจะได้รับอีเมล์ยืนยันการสั่งซื้อพร้อมรายละเอียดการสั่งซื้อของคุณและลิงค์สำหรับติดตามความคืบหน้าของการสั่งซื้อ"
"Your Checkout Progress","ความคืบหน้าในการ Checkout ของคุณ"
"Your order # is: %s","คำสั่งซื้อของคุณ # คือ: %s"
"Your order # is: <a href=""%s"">%s</a>","คำสั่งซื้อของคุณ # คือ <a href=""%s"">%s</a>"
"Your order has been received","เราได้รับคำสั่งซื้อของคุณแล้ว"
"Your order number is ","หมายเลขคำสั่งซื้อของคุณคือ "
"Zip/Postal Code","รหัสไปรษณีย์"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","แบ่งโดย "","""
