" and "," และ "
"Edit Role","แก้ไขบทบาท"
"Edit User '%s'","แก้ไขผู้ใช้ '%s'"
"Email","อีเมลล์"
"Email Preview","แสดงตัวอย่างอีเมลล์"
"Email:","อีเมลล์:"
"Enclose Values In:","แนบค่าไว้ใน:"
"Entity type:","ประเภทเอกลักษณ์:"
"Excl. Tax","ยกเว้น. ภาษี"
"Exclude","ยกเว้น"
"Expiration Date","วันหมดอายุ"
"Expiration Date: %s/%s","วันหมดอายุ: %s/%s"
"Export","ส่งออก"
"Export Filters","ส่งออก Filters"
"Export to:","ส่งออกไปยัง:"
"Export:","ส่งออก:"
"Extension","ส่วนขยาย"
"Extensions","ส่วนขยาย"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","ฟิลด์ Mapping"
"File Information","ข้อมูลไฟล์"
"File name:","ชื่อไฟล์:"
"Final Price","ราคาสุดท้าย"
"First Name:","ชื่อ:"
"For latest version visit: %s","สำหรับเยี่ยมชมเวอร์ชั่นล่าสุด: %s"
"From","จาก"
"General Settings","การตั้งค่าทั่วไป"
"Get help for this page","รับความช่วยเหลือสำหรับหน้านี้"
"Global Record Search","บันทึกการค้นหาโดยรวม"
"Go Today","ไปยังวันนี้"
"Google Base Items","Google Base Items"
"Group:","กลุ่ม:"
"Help Us Keep Magento Healthy - Report All Bugs","Help Us Keep Magento Healthy - Report All Bugs"
"Ignore","ไม่สนใจ"
"Images","รูปภาพ"
"Import","นำเข้า"
"Import Service","บริการนำเข้า"
"In Database:","ในฐานข้อมูล:"
"In File:","ในไฟล์:"
"Inactive","ไม่มีการใช้งาน"
"Incl. Tax","รวม. ภาษี"
"Include","รวม"
"Installed As","ตั้งตั้งด้วย"
"Interactive","การทำงานรวมกัน"
"Interface Locale: %s","การติดต่อประสานพื้นฐาน: %s"
"Invalid webservice adapter specified","webservice adapter เฉพาะไม่ถูกต้อง"
"Invalid webservice handler specified","webservice handler เฉพาะไม่ถูกต้อง"
"Invoice History","ประวัตใบส่งสินค้า"
"Invoice Totals","ใบส่งสินค้าทั้งหมด"
"Issue Number","เลขที่การออกบัตร"
"Issuer: %s","Issuer: %s"
"Last 5 Orders","คำสั่งซื้อ 5 คำสั่งซื้อล่าสุด"
"Last 5 Search Terms","คำค้นหา 5 รายการล่าสุด"
"Last Logged In (%s):","เข้าสู่ระบบล่าสุด (%s):"
"Last Logged In:","เข้าสู่ระบบล่าสุด:"
"Last Name:","นามสกุล:"
"Latest Message:","ข้อความล่าสุด:"
"Leave empty to use tax identifier","ปล่อยว่างเพื่อใช้ tax identifier"
"Level","ระดับ"
"License:","ใบอนุญาต:"
"Loading...","กำลังโหลด..."
"Local Server","เซิฟเวอร์พื้นฐาน"
"Local/Remote Server","พื้นฐาน/รีโมทเซิฟเวอร์"
"Log Out","ออกจากระบบ"
"Logged in as %s","เข้าสู่ระบบโดย %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api Section"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","ผู้ดูแล"
"Manage Stores","จัดการร้านค้า"
"Max","สูงสุด"
"Merge Now","Merge Now"
"Min","ต่ำสุด"
"N/A","N/A"
"Name","ชื่อ:"
"Name on Card","ชื่อบนบัตร"
"Name on the Card: %s","ชื่อบนบัตร: %s"
"Name:","ชื่อ:"
"Next month (hold for menu)","เดือนต่อไป (การควบคุมสำหรับเมนู)"
"Next page","หน้าต่อไป"
"Next year (hold for menu)","หน้าต่อไป (การควบคุมสำหรับเมนู)"
"No","ไม่"
"No Data Found","ไม่พบข้อมูล"
"No search keywords.","ไม่พบคำค้นหา"
"Note:","บันทึก:"
"Notes:","บันทึก:"
"Number of records:","จำนวนที่บันทึก:"
"Old rate:","อัตราเก่า:"
"Only mapped fields","เฉพาะฟิลด์ Map"
"Order Totals","คำสั่งซื้อทั้งหมด"
"Order confirmation email not sent","ไม่สามารถส่งอีเมลล์ยืนยันคำสั่งซื้อ"
"Order confirmation email sent","ส่งอีเมลล์ยืนยันคำสั่งซื้อ"
"Original Magento attribute names in first row:","ชื่อคุณลักษณะดั่งเดิมในแถวแรก Magento:"
"Package","แพ็คเกจ"
"Package Information","ข้อมูลแพ็คเกจ"
"Packages","แพ็คเกจ"
"Page","หน้า"
"Passive mode","โหมด Passive"
"Password","รหัสผ่าาน"
"Path","พาท"
"Path:","พาท:"
"PayPal Email","อีเมลล์ PayPal"
"Personal Information","ข้อมูลส่วนตัว"
"Phone:","โทรศัพท์:"
"Please confirm site switching. All data that hasn\'t been saved will be lost.","กรูณายืนยันการสับเปลี่ยนไซต์. ข้อมูลทั้งหมดที่ไม่ได้บันทึกจะหายไป"
"Please enter 6 or more characters.","กรุณาใส่ 6 ตัวอักษรหรือมากกว่า"
"Please enter a number greater than 0 in this field.","กรุณาใส่ตัวเลขมากกว่า 0 ในฟิลด์นี้"
"Please enter a valid $ amount. For example $100.00.","กรุณาใส่จำนวนที่ถูกต้อง $ .ตัวอย่าง $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","กรุณาใส่ URL ที่ถูกต้อง. ตัวอย่าง http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","กรุณาใส่ URL ที่ถูกต้อง. ต้องการ http:// "
"Please enter a valid credit card number.","กรุณาใส่หมายเลขบัตรเครดิตที่ถูกต้อง"
"Please enter a valid date.","กรุณาใส่วันที่ที่ถูกต้อง"
"Please enter a valid email address. For example johndoe@domain.com.","กรุณาใส่อีเมลล์ที่ถูกต้อง. อีเมลล์ johndoe@domain.com."
"Please enter a valid number in this field.","กรุณาใส่หมายเลขที่ถูกต้องในฟิลด์นี้"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","กรุณาใส่หมายเลขโทรศัพท์ที่ถูกต้อง. ตัวอย่าง (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","กรุณาใส่หมายเลขประกันสังคมที่ถูกต้อง.ตัวอย่าง 123-45-6789."
"Please enter a valid value from list","กรุณาใส่ค่าที่ถูกต้องจากรายการ"
"Please enter a valid value, ex: 10,20,30","กรุณาใส่ค่าที่ถูกต้อง,ตัวอย่าง: 10,20,30"
"Please enter a valid zip code.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง."
"Please enter a valid zip code. For example 90602 or 90602-1234.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง. ตัวอย่าง 90602 or 90602-1234."
"Please enter valid password.","กรุณาใส่รหัสผ่านที่ถูกต้อง."
"Please make sure that your changes were saved before running the profile.","กรุณาทำให้แน่ใจว่าคุณบันทึกการเปลี่ยนแปลงก่อนรันโปรไฟล์."
"Please make sure your passwords match.","กรุณาทำให้แน่ใจว่ารหัสผ่านตรงกัน."
"Please select State/Province.","กรุณาเลือกรัฐ/จังหวัด."
"Please select an option.","กรุณาเลือกตัวเลือก."
"Please select one of the above options.","กรุณาเลือกจากตัวเลือกข้างบน."
"Please select one of the options.","กรุณาเลือกหนึ่งตัวเลือก."
"Please use in this field only ""a-z,0-9,_"".","กรุณาใช้เฉพาะฟิลด์นี้ ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","กรุณาใช้ตัวอักษร (a-z) เท่านั้นในฟิลด์นี้."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","กรุณาใช้ตัวเลขเท่านั้นในฟิลด์นี้. กรุณาหลีกเลี่ยงช่องว่างหรือตัวอัขระอื่นๆ เช่น จุด หรือ จุลภาค."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","กรุณาใช้เฉพาะตัวอักษร (a-z) หรือตัวเลข (0-9) เท่านั้นในฟิลด์นี้.ไม่อนุญาตให้ใช้ช่องว่าง หรือ หรืออักขระอื่่นๆ "
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","กรุณาใช้ตัวอักษร (a-z) หรือตัวเลข (0-9) หรือช่องว่าง และ # เท่านั้นในฟิลด์นี้."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","กรุณาใช้รูปแบบวันที่: dd/mm/yyyy. ตัวอย่าง 17/03/2006 สำหรับ 17 มีนาคม, 2006."
"Please wait, loading...","โปรดรอสักครู่, กำลังโหลด..."
"Please, select a store view","กรุณา, เลือกมุมมองร้านค้า"
"Prev. month (hold for menu)","เดือนก่อนหน้า (การควบคุมสำหรับเมนู)"
"Prev. year (hold for menu)","ปีก่อนหน้า (การควบคุมสำหรับเมนู)"
"Previous page","หน้าก่อนหน้า"
"Price","ราคา"
"Price:","ราคา:"
"Primary Billing Address","ใบเสร็จรับเงินในขั้นแรก"
"Product","สินค้า"
"Products","สินค้า"
"Profile Information","ข้อมูลโปรไฟล์"
"Provided Files","ไฟล์ภายใต้เงื่อนไข"
"Qty","จำนวน"
"Read details","อ่านรายละเอียด"
"Recommended","แนะนำ"
"Remote FTP","Remote FTP"
"Remote URL:","Remote URL:"
"Remove","เอาออก"
"Resource Access","Resource Access"
"Resources","Resources"
"Role","บทบาท"
"Role Scopes","ขอบเขตบทบาท"
"Role Users","บทบาทผู้ใช้"
"Roles","บทบาท"
"Roles Resources","Roles Resources"
"SKU","SKU"
"SKU:","SKU:"
"Schedule Merge","Schedule Merge"
"Select All","เลือกทั้งหมด"
"Select Date","เลือกวันที่"
"Select Range","เลือกลำดับ"
"Select Visible","เลือกให้แสดง"
"Select date","เลือกวันที่"
"Select website to map","เลือกเว็ฐไซต์ไปยังแผนที่"
"Shipment Comments","ข้อคิดเห็นการส่งสินค้า"
"Shipment History","ประวัติการส่งสินค้า"
"Shipping Address","ที่อยู่ในการส่งสินค้า"
"Shipping address selection is not applicable","ที่อยู่ในการส่งสินค้าที่เลือกไม่สามารถใช้ได้"
"Shipping method selection is not applicable","วิธีการส่งสินค้าที่เลือกไม่สามารถใช้ได้"
"Show Report for","แสดงรายงานสำหรับ"
"Show by","แสดงโดย"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","บางรายการในคำสั่งซื้อนี้มีใบส่งสินค้าแล้วประเภทการส่งสินค้าผิดปกติ.คุณสามารถสร้า้งการส่งสินค้าหลังจากสร้างใบส่งสินค้าเท่านั้น."
"Sort Order","จัดเรียงรายการ"
"Spreadsheet Name:","Spreadsheet Name:"
"Staging Store: ","Staging Store: "
"Staging Website - Merge Configuration","Staging Website - Merge Configuration"
"Staging Website: ","Staging Website: "
"Start Date","เริ่มวันที่"
"State/Province:","รัฐ/จังหวัด:"
"Status","สถานะ"
"Status:","สถานะ:"
"Stock Quantity:","จำนวนในคลังสินค้า:"
"Store Credit","เครดิตร้านค้า"
"Store:","ร้านค้า:"
"Store: ","ร้านค้า: "
"Subpackage","แพ็คเกจย่อย"
"Subpackages","แพ็คเกจย่อย"
"Summary:","ผลรวม:"
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solo card issue number: %s","Switch/Solo card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo card start Date: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) Only"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) card issue number: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s"
"The information in this tab has been changed.","ข้อมูลในแท็บนี้มีการเปลี่ยนแปลง."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","นี้คือร้านค้าตัวอย่าง. สินค้าใดๆที่สั่งซื้อผ่านทางร้านนี้จะไม่ได้การยืนยัน."
"This is a required field.","ต้องการฟิลด์นี้."
"This tab contains invalid data. Please solve the problem before saving.","แท็บนี้บรรจูข้อมูลไม่ถูกต้อง. กรุณาแก้ปัญหาก่อนบันทึก."
"Thumbnail","ภาพขนาดย่อ"
"Time selection:","ตัวเลือกเวลา:"
"Time:","เวลา:"
"To","ถึง"
"Top 5 Search Terms","คำค้นหา 5 อันดับสูงสุด"
"Total %d records found","ค้นพบทั้งหมด %d รายการ"
"Track order","ติดตามคำสั่งซื้อ"
"Track this shipment","ติดตามการส่งสินค้าชุดนี้"
"Type","ประเภท"
"Type:","ประเภท:"
"Unable to login.","ไม่สามารถเข้าสู่ระบบ."
"Unselect All","ไม่เลือกทั้งหมด"
"Unselect Visible","ไม่เลือกให้แสดง"
"Upgrade All Available Packages","ปรับปรุงแพ็คเกจที่มีอยู่ทั้งหมด"
"Upload Local File","อัฟโหลดไฟล์พื้นฐาน"
"Upload local file:","อัพโหลดไฟล์พื้นฐาน:"
"Use Default Value","ใช้ค่าเริ่มต้น"
"Use Store Credit (%s available)","Use Store Credit (%s available)"
"User","ผู้ใช้"
"User Name","ชื่อผู้ใช้"
"User Roles","บทบาท ผู้ใช้"
"User name","ชื่อผู้ใช้"
"Users","ผู้ใช้"
"Value Delimiter:","ค่าการจำกัดปริมาณ:"
"Version:","เวอร์ชั่น:"
"View","มุมมอง"
"View Statistics for","มุมมองสถิติสำหรับ"
"Visibility:","แสดง:"
"Warning! Empty value can cause problems with CSV format.","คำเตือน! ค่าว่างทำให้เกิปัญหากับรูปแบบ CSV."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","คำเตือน!\r\nการกระทำนี้จะลบผู้ใช้นี้จากบทบาทที่กำหนดแล้ว\r\nคุณแน่ใจ?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","คำเตือน!\r\nการกระทำนี้จะลบผู้ใช้เหล่านั้นจากบทบาทที่กำหนดแล้ว\r\nคุณแน่ใจ?"
"We detected that your JavaScript seem to be disabled.","เราตรวจพบว่าคุณใช้ JavaScript ดูเหมือนจะปิดการใช้งาน."
"Web Services","เว็บบริการ"
"Web Services Configuration","การตั้งค่าเว็บบริการ"
"Website: ","เว็บไซต์: "
"What is this?","นี่คืออะไร?"
"Yes","ใช้"
"You have","คุณมี"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","คุณต้องเปิดใช้งาน JavaScript ในเบราเซอร์ของคุณเพื่อใช้การทำงานของเว็บไซต์นี้."
"Your Account has been deactivated.","บัญชีของคุณถูกระงับ."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","เซฟเวอร์ของคุณตั้งค่า PHP อนุญาติให้คุณอัฟโหลดไฟล์ไม่เกิน %s ต่อครัง.กรุณาเปลี่ยนแปลง post_max_size (ปัจจุบันคือ %s) และ upload_max_filesize (ปัจจุบันคือ %s) ค่าใน php.ini ถ้าคุณต้องการอัฟโหลดไฟล์ที่ใหญ่."
"Zip/Postal Code:","รหัสไปรษณีย์:"
"critical","การวิจารณ์"
"images/logo.gif","images/logo.gif"
"items selected","รายการที่เลือก"
"major","สำคัญ"
"md5sum","md5sum"
"minor","ไม่สำคัญ"
"notice","ประกาศ"
"of %s pages","จาก %s หน้า"
"or","หรือ"
"per page","ต่อหน้า"
"to","ถึง"
