"# of Use","# จำนวนที่ใช้"
"Collapse All","ยุบทั้งหมด"
"Comparable","เปรียบเทียบได้"
"Comparable on Front-end","สามารถเปรียบเทียบได้ในด้านหน้า"
"Compare Items","เปรียบเทียบรายการสินค้า"
"Compare Products","เปรียบเทียบสินค้า"
"Compare Products (%d)","เปรียบเทียบสินค้า (%d)"
"Compare Products - %d Items","เปรียบเทียบสินค้า- %d รายการ"
"Compare Products List","รายการเปรียบเทียบสินค้า"
"Compare list successfully cleared","เปรียบเทียบรายการสำเร็จ"
"Conditions Combination","การรวมเงื่อนไข"
"Configurable Product","สินค้าที่ปรับแต่งได้"
"Configurable Product Settings","ตั้งค่าสินค้าที่ปรับแต่งได้"
"Continue","ดำเนินการต่อ"
"Copy From Configurable","คัดลอกจากสิ่งที่แก้ไขได้"
"Country/State","ประเทศ/จังหวัด"
"Create","สร้าง"
"Create (Upload)","สร้าง (อัพโหลด)"
"Create Empty","ไม่มีการสร้าง"
"Create Product Settings","สร้างการตั้งค่าสินค้า"
"Create Simple Associated Product","สร้างตัวอย่างที่เกี่ยวข้องกับสินค้า"
"Create new category","สร้างประเภทใหม่"
"Create new product","สร้างสินค้าใหม่"
"Cross-sells","Cross-sells"
"Currently Shopping by","ขณะนี้ทำการเลือกซื้อโดย"
"Custom Design","ออกแบบให้เหมาะสม"
"Custom Options","ตัวเลือกลูกค้า"
"Customer Group","กลุ่มลูกค้า"
"Customers Reviews","บทวิจารณ์ของลูกค้า"
"Customers Tagged Product","Tag สินค้าลูกค้า"
"Customers for alert %s was successfuly added to queue","เพิ่มลูกค้าสำหรับการแจ้งเตือน %s ลงในคิวแล้ว"
"Data Type for Saving in Database","ประเภทของข้อมูลที่จะบันทึกลงในฐานข้อมูล"
"Date","วันที่"
"Date & Time Custom Options","วันที่ & เวลาที่กำหนดเอง"
"Date Subscribed","วันที่สมัครสมาชิก"
"Date fields order","ฟิลด์วันที่สั้งซื้อ"
"Datetime","วันเวลา"
"Decimal","ทศนิยม"
"Decimal Number","จำนวนทศนิยม"
"Declare attribute value saving scope","แจ้งขอบเขตการบันทึกค่าคุณลักษณะ"
"Default Qty","จำนวนค่าเริ่มต้น"
"Default Values","ค่าเริ่มต้น"
"Default price","ราคาที่เป็นค่าเริ่มต้น"
"Default value","ค่าเริ่มต้น"
"Delete","ลบ"
"Delete Attribute","ลบคุณลักษณะ"
"Delete Attribute Set","ลบชุดคุณลักษณะ"
"Delete Category","ลบประเภท"
"Delete Option","ลบตัวเลือก"
"Delete Row","ลบแถว"
"Delete Search","ลบการค้นหา"
"Delete Selected Group","ลบกลุ่มที่เลือก"
"Delete category","ลบประเภท"
"Delete product","ลบสินค้า"
"Depends on design theme","ขึ้นอยู่กับการออกแบบธีม"
"Design","ดีไซน์"
"Disabled","ปิดการใช้งาน"
"Display in Suggested Terms","แสดงในคำที่แนะนำ"
"Double click on a group to rename it","ดับเบิ้ลคลิ๊กที่กลุ่มเพื่อทำการแก้ไขชื่อ"
"Double click on above image to view full picture","ดับเบิ้ลคลิกที่บนรูปภาพเพื่อดูรูปภาพขนาดจริง"
"Dropdown","ดรอปดาวน์"
"Duplicate","ทำสำเนา"
"Duplicate amount found.","ทำสำเนาจำนวนที่พบ."
"Duplicate website tier price customer group and quantity.","จำลองเว็บไซต์ระดับราคาของกลุ่มลูกค้าและปริมาณ."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","แก้ไข"
"Edit Attribute Set '%s'","แก้ไขชุดคุณลักษณะ '%s'"
"Edit Product Attribute","แก้ไขคุณลักษณะสินค้า"
"Edit Product Attribute""%s""","แก้ไขคุณลักษณะสินค้า""%s"""
"Edit Search","แก้ไขการค้นหา"
"Edit Search '%s'","แก้ไขการค้นหา '%s'"
"Email","อีเมลล์"
"Email template is not specified by administrator","เทมเพลตอีเมลล์ไม่มีการระบุโดยผู้ดูแลระบบ"
"Email to %s was not sent","ส่งอีเมลไปยัง %s ยังไม่ได้ส่ง"
"Email to a Friend","ส่งอีเมล์ไปยังเพื่อน"
"Empty","ว่างเปล่า"
"Enabled","เปิดการใช้งาน"
"Error during retrieval of option value: %s","พบข้อผิดพลาดขณะดึงค่าตัวเลือก: %s"
"Error while adding customers for %s alert. Message: %s","พบข้อผิดพลาดขณะเพิ่มลูกค้าในการแจ้งเตือน %sข้อความ: %s"
"Error while saving this group. Group with the same name already exists.","พบข้อผิดพลาดขณะทำการบันทึกกลุ่มนี้ มีกลุ่มที่มีชื่อเดียวกันอยู่แล้ว"
"Error while saving this group. Please try again later.","พบข้อผิดพลาดขณะบันทึกกลุ่มนี้ กรุณาลองใหม่อีกครั้ง."
"Exclude","เอาออก"
"Expand All","ขยายทั้งหมด"
"Failed","ล้มเหลว"
"Failed to move file: %s","การย้ายไฟล์ล้มเหลว: %s"
"Feature Products","ลักษณะสินค้า"
"File options format is not valid","ตัวเลือกรูปแบบไฟล์ไม่ถูกต้อง"
"File upload failed","ไฟล์ที่อัปโหลดล้มเหลว"
"Filter model name must be declared","ต้องประกาศชื่อโมเดลตัวกรอง"
"Filter must be as object. Set correct filter please","ตัวกรองจะต้องเป็น object กรุณาตั้งตัวกรองที่ถูกต้อง"
"Filterable (no results)","ใช้ตัวกรองได้ (ไม่ใช้ผลลัพธ์)"
"Filterable (with results)","สามารถใช้ตัวกรองได้ (พร้อมผลลัพธ์)"
"Filters must be as array","ตัวกรองต้องเป็นแบบ array"
"First Name","ชื่อ"
"Fixed","คงที่"
"Flat Catalog module has a limit of %2\$d filterable and/or sort able attributes. Currently there are %1\$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2\$d filterable and/or sort able attributes. Currently there are %1\$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","สำหรับใช้ภายใน ต้องไม่ซ้ำและไม่มีเว้นวรรค"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","ส่วนหน้าเว็บ"
"Frontend Model","แบบส่วนหน้า"
"Frontend Properties","คุณสมบัติ ส่วนหน้า "
"Gallery","แกลเลอรี่"
"General Information","ข้อมูลทั่วไป"
"Get special price","ราคาพิเศษ"
"Global","โดยรวม"
"Globally Editable","สามารถแก้ไขได้โดยทั่วไป"
"Go to Home Page","ไปยังหน้าหลัก"
"Grid","แนวตั้ง"
"Grouped Product","สินค้าที่จัดเป็นกลุ่ม"
"Groups","กลุ่ม"
"Home","หน้าหลัก"
"ID","รหัส"
"ID: %s","รหัส: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","รูปภาพ"
"Image content is not valid base64 data.","รูปภาพเนื้อหาไม่ถูกต้องข้อมูล base64 ."
"Image file not found","ไม่พบไฟล์รูปภาพ"
"Image not exists","ไม่มีภาพ"
"Image not specified.","ไม่ได้ระบุรูปภาพ."
"Image type and information need to be specified for each store view.","ต้องมีการระบุประเภทรูปภาพและข้อมูลสำหรับมุมมองแต่ละร้าน"
"In Stock","มีสินค้า"
"In stock","มีสินค้า"
"In stock.","มีสินค้า."
"Incl. Tax","รวม. ภาษี"
"Input Type","ใส่ประเภท"
"Input Validation for Store Owner","การตรวจสอบความถูกต้องของข้อมูลที่นำเข้าสำหรับเจ้าของร้าน"
"Integer","จำนวนเต็ม"
"Integer Number","เลขจำนวนเต็ม"
"Invalid Tier Prices","ระดับราคาไม่ถูกต้อง"
"Invalid attribute %s","คุณลักษณะที่ไม่ถูกต้อง %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","การระบุคุณลักษณะตัวเลือกสำหรับคุณลักษณะ %s (%s), ไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid attribute set specified, skipping the record","การระบุชุดคุณลักษณะไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid block: %s","block ไม่ถูกต้อง: %s"
"Invalid category","ประเภทสินค้าไม่ถูกต้อง"
"Invalid category IDs","รหัสประเภทไม่ถูุกต้อง"
"Invalid image file type","ประเภทไฟล์ภาพไม่ถูกต้อง"
"Invalid image type.","ประเภทภาพไม่ถูกต้อง."
"Invalid option id specified for %s (%s), skipping the record","การระบรหัสตัวเลือกสำหรับ %s (%s) ไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid product type specified, skipping the record","ประเภทสินค้าที่ระบุไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid store specified","กำหนดร้านค้าไม่ถุกต้อง"
"Invalid store specified, skipping the record","การระบุร้านไม่ถูกต้อง, กำลังข้ามรายการ"
"Invalid tier prices. Product is not associated to the requested website.","ระดับราคาไม่ถูกต้อง. ผลิตภัณฑ์ไม่ได้เชื่อมโยงไปยังเว็บไซต์"
"Invalid transactional email code","transactional รหัสอีเมลล์ไม่ถูกต้อง"
"Inventory","สินค้าที่มีอยู่ร้าน"
"Is Default","เป็นค่าเริ่มต้น"
"Is Required","ต้องการสิ่งนี้"
"Items %s to %s of %s total","รายการที่ %s ถึง %s จากทั้งหมด %s "
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."," ในความต้องการของร้านค้า รายการทีคุณไม่ต้องการให้แสดงในรายการสินค้า หรือ จากการค้นหาควรจะให้มีสถานะ'ปิดใช้งาน'"
"Label","ป้าย"
"Last Name","นามสกุล"
"Last Notification","การแจ้งเตือนครั้งสุดท้าย"
"Learn More","ดูรายละเอียดเพิ่มเติม"
"Length of text is too long","ความยาวของข้อความยาวเกิน"
"Letters","ตัวอักษร"
"Letters(a-zA-Z) or Numbers(0-9)","ตัวอักษร(a-zA-Z) หรือตัวเลข(0-9)"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","รายการ"
"List Mode","โหมดรายการ"
"Manage Attribute Sets","จัดการชุดคุณลักษณะ"
"Manage Attributes","จัดการคุณลักษณะ"
"Manage Catalog Categories","จัดการประเภทของแค็ตตาล็อค"
"Manage Categories","จัดการประเภท"
"Manage Label / Options","จัดการป้าย / ตัวเลือก"
"Manage Options (values of your attribute)","จัดการตัวเลือก(ค่าของคุณลักษณะของคุณ)"
"Manage Product Attributes","จัดการคุณลักษณะสินค้า"
"Manage Product Sets","จัดการชุดสินค้า"
"Manage Products","จัดการสินค้า"
"Manage Stock","จัดการคลังสินค้า"
"Manage Titles (Size, Color, etc.)","จัดการหัวข้อ(ขนาด,สี,ฯลฯ)"
"Max Characters","ตัวอักษรที่มากที่สุด"
"Maximal Depth","ความลึกสูงสุด"
"Maximum Image Size","ขนาดรูปภาพสูงสุด"
"Maximum Qty Allowed in Shopping Cart","จำนวนมากที่สุดที่อนุมัติในรถเข็น"
"Maximum image height","ความสูงรูปภาพสูงสุด"
"Maximum image width","ความกว้างรูปภาพสูงสุด"
"Maximum number of characters","จำนวนตัวอักษรที่มากที่สุด"
"Media Image","ภาพ Media"
"Minimum Lines Per Page","บรรทัดที่น้อยที่สุดต่อหน้่า"
"Minimum Qty Allowed in Shopping Cart","จำนวนที่น้อยที่สุดที่อนุมัติในรถเข็น"
"Minimum Qty for Item\'s Status to be Out of Stock","จำนวนที่น้อยที่สุดสำหรับรายการที่จะออกจากคลังสินค้า"
"Missing SKU, skipping the record","รายการสินค้าในร้านหายไป, กำลังข้ามรายการ"
"More Views","มุมมองเพิ่มเติม"
"Move","ย้าย"
"Move category in tree","ย้ายประเภทในแผนผังต้นไม้"
"Multiple Select","เลือกหลายตัวเลือก"
"Name","ชื่อ"
"Name In %s","ชื่อใน %s"
"Name<br/>(For internal use)","ชื่อ<br/>(สำหรับใช้ภายใน)"
"New Category","ประเภทใหม่่"
"New Product","สินค้าใหม่"
"New Product Attribute","คุณลักษณะใหม่ของสินค้า"
"New Products","สินค้าใหม่"
"New Search","การค้นหาใหม่"
"New Set Name","ชื่อชุดใหม่"
"Next","ถัดไป"
"No","ไม่ใช่"
"No image","ไม่มีรูปภาพ"
"No layout updates","ไม่มีการอัพเดท เลย์เอาท์"
"No options of this product are available.","ไม่มีตัวเลือกสำหรับสินค้านี้"
"No product collections found","ไม่พบคอลเลคชั่นสินค้า"
"None","ไม่มี"
"Not shared with other products","ไม่ใช้ร่วมกับสินค้าอื่น"
"Notify Low Stock RSS","แจ้งเตือนเมื่อสินค้าในสต๊อกเหลือน้อย RSS"
"Notify for Quantity Below","แจ้งเตือนสำหรับปริมาณที่ลดลง"
"Nowhere","ไม่ปรากฏที่ไหน"
"Number of Uses","จำนวนที่ใช้"
"Number of results<br/>(For last time placed)","จำนวนผลลัพธ์<br/>(จากที่ได้ดำเนินการครั้งหลังสุด)"
"OR","หรือ"
"Old Price:","ราคาเก่า:"
"Option validation failed to add product to cart","ตัวเลือกการตรวจสอบล้มเหลวในการเพิ่มผลิตภัณฑ์ลงในรถเข็น"
"Option:","ตัวเลือก:"
"Options Control","ควบคุมตัวเลือก"
"Options is required","ต้องการตัวเลือก"
"Our customer service is available 24/7. Call us at (555) 555-0123.","บริการลูกค้าของเรา 24/7. ี่โทรหาเราได้ท (555) 555-0123."
"Out of Stock","สินค้าหมดคลังสินค้า"
"Out of stock","สินค้าหมดคลังสินค้า"
"Out of stock.","สินค้าหมดคลังสินค้า."
"PM","PM"
"Page Title Separator","ตัวแยกหัวข้อหน้าหน้า"
"Page:","หน้า:"
"Parent Category","ประเภทหลัก"
"Pending","รอตรวจสอบ"
"Pending Reviews RSS","บทวิจารณ์ RSS กำลังรอการตรวจสอบ"
"Percentage","เปอร์เซ็นต์"
"Please add rows to option.","กรุณาเพิ่มแถวตัวเลือก."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won\'t be closed automatically","กรุณาคลิกปุ่มปิดหน้าต่าง ถ้ามันไม่ปิดโดยอัตโนมัติ"
"Please enter a new group name","กรุณาใส่ชื่อกลุ่มใหม่"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","กรุณาเลือกคุณลักษณะหนึ่งอย่างหรือมากกว่า."
"Please select product(s)","กรุณาเลือกสินค้า"
"Please select products for attributes update","กรุณาเลือกสินค้าที่จะอัพเดทคุณลักษณะ"
"Please select static block ...","กรุณาเลือก static block ..."
"Please set up merge date/time","กรุณาตั้งค่าผสานวันที่ / เวลา "
"Please set up merge date/time later then present date","กรุณาตั้งค่าผสานวันที่ / เวลา ภายหลังวันที่ปัจจุบัน"
"Please specify date required option(s)","โปรดระบุวัันที่ตัวเลือกที่ต้องการ"
"Please specify the product option(s)","กรุณากำหนดตัวเลือกสินค้า"
"Please specify the product required option(s)","กรุณากำหนดตัวเลือกสินค้าที่ต้องการ"
"Please specify the product(s) quantity","กรุณากำหนดจำนวนสินค้า"
"Please specify time required option(s)","กรุณาระบุเวลาที่เลือก"
"Please, use four-digit year format","กุรุณา, รูปแบบปีเป็นเลขสี่หลัก"
"Position","ตำแหน่ง"
"Position In Layered Navigation","ตำแหน่งในระดับ Navigation"
"Position of attribute in layered navigation block","ตำแหน่งของคุณลักษณะ layered navigation ถูกบล็อค"
"Prev","ก่อนหน้า"
"Previous","ก่อนหน้านี้"
"Price","ราคา"
"Price Type","ประเภทราคา"
"Price values for options should be specified in system base currency.","ค่าราคาสำหรับข้อกำหนดจะเจาะจงอยู่ในพื้นฐานระบบสกุลเงิน"
"Price:","ราคา:"
"Print This Page","พิมพ์หน้านี้"
"Problem saving the collection, aborting. Error: %s","พบปัญหาในการบันทึกข้อมูลกำลังยกเลิกการบันทึก ข้อผิดพลาด: %s"
"Product","สินค้า"
"Product %s successfully added to compare list","เพิ่มสินค้า %s ลงในรายการเปรียบเทียบแล้ว"
"Product %s successfully removed from compare list","ย้ายผลิตภัฑณ์จากรายการเปรียบเทียบสำเร็จ"
"Product API","สินค้า API"
"Product Alerts","แจ้งเตือนสินค้า"
"Product Attribute","คุณลักษณะสินค้า"
"Product Attributes","คุณลักษณะสินค้า"
"Product Categories","ประเภทสินค้า"
"Product Description","รายละเอียดสินค้า"
"Product Image Placeholders","รูปภาพสินค้า Placeholders"
"Product Image Watermarks","ภาพลายน้ำ้สินค้า"
"Product Images","รูปภาพสินค้า"
"Product Images API","รูปภาพสินค้า API"
"Product In Websites","สินค้าในเว็บไซต์"
"Product Info Column","คอลัมม์ข้อมูลสินค้า"
"Product Information","ข้อมูลสินค้า"
"Product Name","ชื่อสินค้า"
"Product Reviews","บทวิจารณ์สินค้า"
"Product Tags","Tags สินค้า"
"Product Tier Price API","ระดับราคาสินค้า API"
"Product Type","ประเภทสินค้า"
"Product URL Suffix","URL ต่อท้ายของสินค้า"
"Product attribute sets API","ชุดคุณลักษณะสินค้า API"
"Product attribute was successfully deleted","ลบคุณลักษณะสินค้าแล้ว"
"Product attribute was successfully saved","บันทึกคุณลักษณะสินค้าแล้ว"
"Product attributes API","คุณลักษณะสินค้า API"
"Product collection expected","ระบบต้องการข้อมูลคอลเลคชั่นสินค้า"
"Product deleted","ลบสินค้าแล้ว"
"Product duplicated","สินค้าซ้ำกัน"
"Product has required options","ต้องการตัวเลือกสินค้า"
"Product links API (related, cross sells, up sells)","ลิงค์สินค้า API (related, cross sells, up sells)"
"Product listing sort by","เรียงรายการผลิตภัณฑ์ตาม"
"Product saving error.","ข้อผิดพลาดในการบันทึกสินค้า."
"Product saving error. ","บันทึกสินค้าผิดพลาด. "
"Product types API","ประเภทสินค้า API"
"Product was successfully created.","สร้างสินค้าสำเร็จ"
"Product was successfully saved.","บันทึกสินค้าแล้ว"
"Product with this combination of attributes already associated to configurable.","ผลิตภัณฑ์รวมเข้าด้วยกันกับคุณลักษณะเรียบร้อยแล้วที่สัมพันธ์ถึงการแก้ไข"
"Products","สินค้า"
"Products Information","ข้อมูลสินค้า"
"Products Reviews","บทวิจารณ์สินค้า"
"Products Sitemap","แผนผังสินค้า"
"Products only","เฉพาะสินค้า"
"Products per Page on Grid default value","สินค้าต่อหน้าบนค่าเริ่มต้นแบบ Grid "
"Products per Page on List allowed values","สินค้าต่อหน้าที่ยอมให้แสดงบนรายการแบบ list"
"Products per Page on List default value","สินค้าต่อหน้าบนค่าเริ่มต้นแบบ List "
"Products per page on Grid allowed values","สินค้าต่อหน้าที่ยอมให้แสดงบนรายการแบบ Grid "
"Properties","คุณสมบัติ"
"Qty","จำนวน"
"Qty Uses Decimals","จำนวนทศนิยมที่ใช้"
"Qty for Item\'s Status to become Out of Stock","จำนวนสำหรับสินค้าที่เปลี่ยนเป็นสถานะ หมดคลังสินค้า"
"Quick Create","สร้างแบบเร็ว"
"Quick Overview","รายละเอียด"
"Quick simple product creation","สร้างตัวอย่างสินค้าแบบเร็ว"
"Records for ""","บันทึกสำหรับ """
"Redirect","Redirect"
"Redirect URL","Redirect URL"
"Regular Price:","ราคาปกติ:"
"Related Products","สินค้าที่เกี่ยวข้อง"
"Remove","ลบออก"
"Remove Product","ลบสินค้าออก"
"Remove Product From Websites","ลบสินค้าออกจากเว็บไซต์"
"Remove This Item","ลบรายการสินค้านี้ออก"
"Remove product assignment","ลบสินค้าที่กำหนด"
"Remove product image","ลบรูปภาพสินค้า"
"Remove product link","ลบลิงค์สินค้า"
"Required","จำเป็น"
"Reset","รีเซ็ต"
"Results","ผลลัพธ์"
"Retrieve attribute data","เรียกข้อมูลคุณลักษณะ"
"Retrieve attribute list","รายการกู้คืนคุณลักษณะ"
"Retrieve attribute options","ตัวเลือกกู้คืนคุณลักษณะ"
"Retrieve categories tree","เรียกข้อมูล categories tree"
"Retrieve category attributes","กู้คืนคุณลักษณะประเภทสินค้า"
"Retrieve category data","กู้คืนข้อมูลประเภทสินค้า"
"Retrieve hierarchical tree","กู้คืนเกี่ยวกับแผนผังต้นไม้"
"Retrieve linked products","กู้คืนลิงค์สินค้า"
"Retrieve list of assigned products","รายการกู้คืนสินค้าที่กำหนด"
"Retrieve one level of categories by website/store view/parent category","กู้คืนประเภทสินค้าหนึ่งระดับโดยเป็นแบบ website/store view/parent category"
"Retrieve product","กู้คืนสินค้า"
"Retrieve product attribute sets","กู้คืนชุดคุณลักษณะสินค้า"
"Retrieve product image","กู้คืนรูปภาพสินค้า"
"Retrieve product image list","รายการกู้คืนรูปภาพสินค้า"
"Retrieve product image types","ประเภทการกู้คืนรูปภาพสินค้า"
